Type,Operator,Registration
Cessna 207,Southeast Skyways - Air Taxi,N1726U
Piper PA-31,Comair,N6642L
McDonnell Douglas DC-8-62,Swissair,HB-IDE
Cessna 207A,Spernak Airway - Air Taxi,N6224H
Cessna 310,Rhoadgs Aviation - Air Taxi,N1320G
Beech 200,,XC-PGR
de Havilland Canada DHC-6 Twin Otter 300,Procurator Generale de la Republica,XC-BOS
McDonnell Douglas DC-10-10,Western Airlines,N903WA
De Havilland Dash-6,Austin Airways,C-GTJA
Piper PA-31,Bankair Inc. - Air Taxi,N66893
Cessna T310R,McKenzie Flying Service - Air Taxi,N1316G
Boeing B-727,American Airlines,
Yakovlev YAK-40,Aeroflot,CCCP-87454
Lockheed L-188CF Electra,Transamerica Airlines,N859U
de Havilland Canada DHC-3 Otter,Smithers Air Service,C-FJIK
Boeing B-707-340C,Pakistan International Airlines,AP-AWZ
McDonnell Douglas DC-10-30,Air New Zealand,ZK-NZP
Grumman G-21 Goose,Aerolineas La Gaviola,HK-2059
de Havilland DHC-6,Evergreen Helicopter - Air Taxi,N8061V
Antonov AN-26,Aeroflot,CCCP-26547
Martin 404,CAMBA,CP-1440
Douglas DC-4 (C-54),SATENA,FAC-1106
de Havilland Canada DHC-5 Buffalo,Fuerza AÃ©rea del Peru,FAP-348
Fokker F-28 Fellowship 1000,Turkish Airlines (THY),TC-JAT
GAF Nomad 22B,Douglas Airways,P2-DNL
Britten Norman BN Islander,HaÃ¯ti Air Inter,HH-CNC
Cessna 441 Conquest,Private charter,N442NC
Boeing B-727-86,Iran National Airlines,EP-IRD
CASA 212 Aviocar 100,Pelita Air Service,PK-PCX
Fairchild FH-227H,Military - Union of Burma Air Force,5003
Yakovlev YAK-40,Cubana de Aviacon,CU-T1219
Beechcraft Super King Air 200,Advance Airlines,VH-AAV
Sikorsky S-62A,Rotor Airs In- Air Taxi,N442Y
Fairchild C-119G,Military - Indian Air Force,
Boeing B-707-309C,China Airlines (Taiwan),B-1826
Ilyushin IL-62,LOT Polish Airlines,SP-LAA
Lockheed C-130H,Military - U.S. Air Force,74-2064
Piper PA-28-180,Eagle Commuter,N55932
Sikorsky S-76,VOTEC,PT-HKB
Cessna 402,Tomahawk Airways,C-FEIA
Britten Norman BN Islander,VoteTaxi AÃ©reo,PT-JSC
Boeing B-727-27C,Transbrasil,PT-TYS
Lockheed EC-130E Hercules,Military - U.S. Air Force,62-1809
Boeing B-727-64,Dan Air Services,G-BDAN
Hawker Siddeley HS-748-2,Thai Airways,HS-THB
Britten Norman BN Islander,VoteTaxi AÃ©reo,PT-KHK
Ilyushin IL-14,Cubana de Aviacion,CU-T322
Aerospatiale Caravelle 6R,Transportes Aereos del Caribe,HK-1810
Learjet 25D,Northeast Jet,N125NE
Lockheed C-130,Spanish Air Force,T.10-1/311-01
Fairchild F-27J,Lloyd Aereo Boliviano,CP-1117
Yakovlev YAK-40,Lineas Aereas de Angola,D2-TYC
Swearingen 226TC Metro II,Air Wisconsin,N6505
Yakovlev YAK-40,Aeroflot,CCCP-87689
Piper PA-34,Aero PaLease - Air Taxi,N2564Q
McDonnell Douglas DC-9-15,Itavia,I-TIGI
Embraer 110P1 Bandeirante,IMSS,XC-DAK
Tupolev TU-154B,Aeroflot,CCCP-85355
Cessna 402B,Ryan Air Services,N90238
Cessna 404 Titan II,SceniAirlines,N2683S
Piper PA-31-350,Air Pennsylvania - Air Taxi,N5MS
Douglas DC-8-43F,Aeronaves del Peru,OB-R-1143
de Havilland DHC-3,Yute Air Alaska - Air Taxi,N443GR
Bell 205A-1 helicopter,Air Logistics,N95AL
Tupolev TU-154B-1,Tarom,YR-TPH
Britten-Norman BN-2A-6 Islander,Prospec,PT-KAC
Learjet 35A,Spantax,EC-DFA
Lockheed L-1011-200,Saudi Arabian Airlines,HZ-AHJ
Lockheed C-130E Hercules,Military - U.S. Air Force,69-6581
Lockheed 1011-200 TriStar,Saudi Arabian Airlines,HZ-AHK
Vickers Viscount 812,Bouraq Indonesia Airlines,PK-IVS
Lockheed L-100-20 Hercules,Military - Kuwait Air Force,KAF317
Douglas C-47,Aeronorte Colombia,HK-329
Douglas DC-3,Florida Commuter Airlines,N75KW
Lockheed Hercules C-130,Military - Force AÃ©rienne ZaÃ¯roise,9T-TCE
Lockheed C-130E,Military - Royal Saudi Air Force,453
de Havilland DHC-5 Buffalo,Military - Zairean Air Force,9T-CBA
Britten-Norman BN-2A-27 Islander,Flugfelag Austurlands,TF-RTO
Antonov AN-12V,Military - Soviet Air Force,CCCP-11104
Beechcraft E18S,Tampa Air Center - Air Taxi,N65V
Lockheed C-130H Hercules,Fuerza AÃ©rea Venezolana,3556
Lockheed C-141A,Military - U.S. Air Force,67-0030
Britten-Norman BN-2A Trislander,Provincial Air Services,VH-BSG
Boeing B-747-2B5B,Korean Airlines,HL-7445
Douglas C-47A-35-DL,F.R. de la Direccion General de Ados,HK-1221G
Douglas DC-7B,Central Air Services,N816D
Piper PA-42 Cheyenne,Tanzania Aviation,5H-TAL
Beechcraft B90,Queen Airmotive - Air Taxi,N2181L
Piper PA-32,Penninsula Airways - Air Taxi,N2243Q
Britten-Norman BN-2A Trislander,Eagle Airways,VH-EGU
Vickers Viscount 745D,Aeropesca Colombia,HK-1320
Beechcraft 99A,Cascade Airways,N390CA
Aero Commander 681,Orcon Inc. - Air Taxi,N500JP
Tupolev TU-104A,Military - Soviet Navy,CCCP-42332
Cessna 310R,Walker - Watts Aviation - Air Taxi,N1323G
Lockheed 1339,Private - Corporate,N520S
Sikorsky S-62A,Helicopter - Air Taxi,N324Y
Embraer 110P Bandeirante,VOTEC,PT-GLB
Cessna 310R,Berkshire Aviation - Air Taxi,N5489J
Lockheed MC-130E-Y,Military - U.S. Air Force,64-0564
Cessna T210N,Air Chaparral - Air Taxi,N77FB
Dassault-Breguet Atlantique,Military - French Naval Aviation,29
Boeing RC-135S,Military - U.S. Air Force,61-2664
Antonov AN-24B,LOT Polish Airlines,SP-LTU
Piper PA-31,Galena Air Service - Air Taxi,N68856
Cessna 402,Talair,P2-GKJ
Douglas C-47A,Urcupina,CP-1470
Learjet 23,Freedom International,N400PG
Hadley Page 137Jetstream I / Cessna 206,Air US / Private,N11360 / N4862F
Douglas C-47A-5-DK,Airfast Indonesia,PK-OBK
Boeing EC-135N,Military - U.S. Air Force,61-0328
BAC One-Eleven 529FR,Austral Lineas Aeras (Argentina),LV-LOX
Lockheed L-100-20 Hercules,TAAG Angola Airlines,D2-EAS
Convair CV-440-11,Lineas Aereas,XA-KEH
de Havilland Canada DHC-6 Twin Otter 300,TAME,HC-BAX
Beech Super King Air 200/DHC6-Twin Otter,Military - Ecuadorean Air Force,FAE-723/FAE-457
Beechcraft 58,Shanair Inc. - Air Taxi,N140S
Lockheed C-130H Hercules,Military - Egyptian Air Force,SU-BAH
Ilyushin Il-14,Aeroflot,CCCP-41838
Britten-Norman BN-2A-8 Islander,Taiwan Airlines,B-11108
Douglas DC-3,Taxi AÃ©reo el Venado,HK-1078
Hawker Siddeley HS-748,Dan Air Services,G-ASPL
Cessna 401,G & W Aviation,N7957F
Canadair CL-44D4-6,TAR,LV-JTN
Fokker F-27 Friendship 600RF,Somali Airlines,6O-SAY
Beechcraft 58TC,Air Taxi,N17705
de Havilland Canada DHC-6 Twin Otter 300,Air Madagascar,5R-MGB
Douglas C-53D-DO,Transamazonica,HK- 772
McDonnell Douglas DC-9-32,Aeromexico,XA-DEN
Piper PA-32,Skagway Air Service - Air Taxi,N8224Q
Boeing B-737-222,Far Eastern Air Transport,B-2603
Antonov AN-24RV / Soviet Air Force TU-16,Aeroflot / Military - Russian Air Force,CCCP-46653
Yakovlev YAK-40,Aeroflot,CCCP-87346
Embraer 110P1 Bandeirante,Taxi Aereo el Venado,HK-2651
Yakovlev YAK-40 / Mil Mi-8,Aeroflot /Military - Russian,CCCP-87455
Lockheed C-130H Hercules,Military - U.S. Air Force,74-1672
Northrop F-5A,Military - Turkish Air Force,
Lockheed C-130H,Military - Iranian Air Force,5-158-8552
Learjet 24,Sky Train Air,N44CJ
Fokker F-28 Fellowship 4000,NLM (Nederlandse Luchtvaart Maatschappij),PH-CHI
Cessna 404 Titan,Oefag Flugdienst,OE-FCT
Lockheed L-749A Constellation,Aerolineas Argo,HI-328
de Havilland Canada DHC-6 Twin Otter 300,Cameroon Airlines,TJ-CBC
McDonnell Douglas DC-9-32,Aeromexico,XA-DEO
Piper PA-32,Moyer Aviation - Air Taxi,N178RB
Tupolev TU-154B-2,Aeroflot,CCCP-85480
Pilatus PC-6/B2-H2 Turbo-Porter,Royal Nepal Airlines,9N-ABJ
Douglas DC-6A,Guyana Airways,N3486F
McDonnell Douglas MD-81,Inex Adria Aviopromet (Yugoslavia),YU-ANA
Beech C-45H,Private - Parajump air show,N8185H
Cessna 207A,Spernak Airways - Air Taxi,N9461M
Cessna 185,Hudson Air Service - Air Taxi,N4311R
Aerospatiale Puma,Bristow Helicopters,9M-SSC
de Havilland Canada DHC-6 Twin Otter 300,ACES Colombia,HK-2217
Cessna 402B,Linair Express,ZS-KVG
Piper PA-31,Sun West Airline - Air Taxi,N41070
LET  410M Turbojet,Aeroflot,CCCP-67290
Cessna 210,Air Taxi,N9763X
Boeing B-737-222,Air Florida,N62AF
Antonov AN-26,Military - Ethiopian Air Force,71383
McDonnell Douglas DC-10-30CF,World Airways,N113WA
Antonov An-24RV,Tarom,YR-BMD
Nord 2501 Noratlas,Military - French Air Force,140/88JA
Fairchild C-123,Military - Republiof South Korea Air Force,
Fairchild C-119G,Military - Indian Air Force,
McDonnell Douglas DC-8-61,Japan Air Lines,JA-8061
Douglas DC-3 (C-47A-70-DL),Trans Air Services,RP-C141
Douglas DC-6BF,LAC Columbia,HK-1706
de Havilland DHC -6-100,Pilgrim Airlines,N127PM
de Havilland Canada DHC-6 Twin Otter 300,Wideroe's Flyveselksap,LN-BNK
Boeing B-747,British Airways,G-BDXH
Yakovlev YAK-42,Aeroflot,CCCP-45229
Beechcraft Bonanza F35,Private,N567LT
Boeing KC-135C,Military - U.S. Air Force,58-0031
Fokker F-28 Fellowship 1000,Garuda Indonesia Airlines,PK-GVK
Vickers Viscount 745D,Aeropesca Colombia,HK-2382
Hughes 369D,Air Taxi,N11058
Lockheed C-130H,Military - U.S. Air Force,74-1678
Hawker Siddeley Trident 2E,CAAC,B-266
Beechcraft E18S,Air Taxi,N6911
Sikorsky S-76,Okanagan Helicopters,C-GIMF
de Havilland Canada DHC-7-103,Alyemda,7O-ACK
Lockheed C-130E Hercules,Military - U.S. Air Force,64-0543
Westland Sea King HC-4 (helicopter),Military - Royal British Navy,ZA-294
Boeing B-737-200,VASP,PP-SMY
Aerospatiale 330G Puma,Pelita Air Service,PK-PDU
Fairchild C-123,Military - Republiof South Korea Air Force,56-4391
Boeing B-727-212A,VASP,PP-SRK
Fairchild-Hiller FH-227B-LCD,TABA,PT-LBV
Boeing B-707-437,Air India,VT-DJJ
Cessna 404 Titan,Air Affaires Gabon,TR-LYQ
Ilyushin IL-62M,Aeroflot,CCCP-86513
Boeing B-727-235,Pan American World Airways,N4737
Hawker Siddeley HS-748-209 Srs. 2,Philippine Air Lines,RP-C1014
Cessna 172F,Air Taxi,N8230U
Bell UH-1B Huey Helicopter,Western Helicopter,N87701
Cessna A185F,Air Taxi,N9682Q
Piper PA-28-161,Air Taxi,N81786
Boeing B-747-121,Pan American World Airways,N754PA
de Havilland Canada DHC-6 Twin Otter 300,Burma Airways,XY-AEB
LeT 410UVP Turbojet / Tupolev TU-134V,Aeroflot / Aeroflot,67191 / 65836
Arava 201,Military - Nicaraguan Air Force,223
Britten-Norman BN-2A Islander,Inter Island Air Services,VP-LAE
Lockheed C-141B,Military - U.S. Air Force,64-0652
de Havilland Canada DHC-4A Caribou,Aerolineas Condor,HC-BHZ
Gates Learjet 25B,Cia Brasiliera de Tratores,PT-JBQ
Boeing Vertol CH-47C (helicopter),Military - U.S. Army,74-22292
McDonnell Douglas DC-10-30CF,Spantax,EC-DEG
Robertson C-U206F,Air Taxi,N33249
de Havilland Canada DHC-3 Otter,Central Mountain Air Services,C-FDJA
Cessna U206G,Air Taxi,N5331X
Ilyushin IL-62M,Aeroflot,CCCP-86470
Piper PA-31,Air Taxi,
Bell 212,Far Eastern Air Transport,B-2311
Beechcraft 95-B55,Air Taxi,N18411
Antonov AN-26,TAAG Angola Airlines,D2-TAB
de Havilland Canada DHC-6 Twin Otter 310,Aerolineas Centrales de Colombia,HK-2536
Piper PA-32-260,Air Taxi - Basco Flying Service Inc.,N32750
Swearingen SA.227AC Metro III,Pioneer Airlines,N30093
Mil Mi-8 (helicopter),Military - Nicaraguan Air Force,265
de Havilland DHC-2,Air Taxi - Tyee Airlines Inc.,N68081
Fairchild F-27J,Aeronor Chile,CC-CJE
Cessna T210,Air Taxi - Custom Air Transport Inc.,N297EB
Piper PA-31-350 Chieftain,Rijnmond Air Services,PH-TSM
Antonov AN-26,Aeroflot,CCCP-26627
Ilyushin IL-18B,CAAC,B-202
Convair 580-11A,RepubliAirlines,N844H
McDonnell Douglas DC-8-54F37,United Air Lines,N8053U
Britten Norman BN-2A-20 Trislander,Talair,P2-ISH
Boeing B-727-2F2,Turkish Airlines (THY),TC-JBR
Lockheed C-130H Hercules,Military - U.S. Air Force,74-1693
Piper PA-32-301,Air Taxi,N28216
Bell 212,Aeroleo Taxi Aereo,PT-HJN
de Havilland Canada DHC-6 Twin Otter 300,Bakhtar Afghan Airlines,YA-GAZ
McDonnell Douglas DC-9-32,Avensa,YV-67C
Mitsubishi MU-2B-60,Air Taxi,N72B
Learjet 25,Central Airlines,N51CA
Beech Super King Air 200,Total,F-BVRP
Britten-Norman BN-2A-8 Islander,Munz Northern Airlines,N37MN
Hawker Siddeley HS-748-329 Srs. 2A,Air Liberia,EL-AIH
Yakovlev YAK-40,Aeroflot,CCCP-87291
Kawasaki C-1 / Kawasaki C-1,Japan Air Self-Defence Force,58-1009/68-1015
PS-1,Military - Japan Maritime Self Defense Force,
Sud Aviation SE-210 Caravelle VIR,SAN Ecuador,HC-BAT
Convair CV-340,Military - United States Navy,141010
Fairchild C-123K,Military - Royal Thai Air Force,L4K-12/18
Lockheed L-1011,Eastern Air Lines,N334EA
Fokker F-28 Fellowship 3000RC,Garuda Indonesia Airlines,PK-GFV
McDonnell Douglas DC-9-32,Air Canada,C-FTLU
Fairchild C-199G,Military - Republiof China Air Force,
Lockheed P-3B Orion,Military - U.S. Navy,152720
de Havilland Canada DHC-6 Twin Otter 300,Air Mali,TZ-ACH
Cessna U206,Air Taxi - Four Corners Aviation Inc.,N5413X
Lockheed C-130H Hercules,Military - U.S. Air Force,74-2068
Ilyushin IL-62M,CAAK,B-889
Boeing B-737-2V2,TAME,HC-BIG
Sikorsky S-61N-II,British Airways Helicopters,G-BEON
Boeing B-767-233ER,Air Canada,C-GAUN
Cessna 404 Titan,Bali International Air Service,PK-KCA
Britten-Norman BN-2A-21 Islander,Bali International Air Service,PK-KNF
Beechcraft G18S,Air Taxi - Northern Air Services Inc.,N400NA
Piper PA-31-350 Chieftain,Las Vegas Airlines,N88LV
Lockheed L-100-30 Hercules,Transamerica Airlines,N17ST
Beech Super King Air 200,Moore's Air Charter,VH-KTE
Tupolev TU-134A,Aeroflot,CCCP-65129
Boeing B-747-230B,Korean Airlines,HL-7442
Britten-Norman BN-2A-21 Islander,Central Mountain Air Services,C-GIPF
Hawker Siddeley Trident 2E /  II-28,CAAC,B-264 / 
Boeing B-737-2P6,Gulf Air,A40-BK
Cessna TU206C,Air Taxi,N7353N
Britten-Norman BN-2A-26 Trislander,Taiwan Airlines,B-11109
Yakovlev YAK-40,Aeroflot,CCCP-87618
Cessna 182R,Air Taxi - Ozark Skyways Inc.,N5191E
Embraer 110C Bandeirante,TAM Lineas AÃ©reas Regional,PP-SBH
de Havilland Canada DHC-6 Twin Otter 300,Burma Airways,XY-AEE
Hawker Siddeley HS-748-FAA,Air Illinois,N748LL
Shorts 330-200,Pennsylvania Airlines,N26288
Boeing B-737-200,TAAG Angola Airlines,D2-TBN
de Havilland Canada DHC-6 Twin Otter 300,Austin Airways,C-GTLA
Beechcraft B-100,Air Taxi,N1910L
Boeing B-747-283B,AVIANCA,HK-2910
Fokker F-28 Fellowship 2000,Nigeria Airways,5N-ANF
Boeing B-727-200 / DC9-32,Iberia Airlines / Aviaco,EC-CFJ/EC-CGS
Cessna 207,Air Taxi - Island Airlines,N208JP
Boeing 707-373C,TAMPA Colombia,HK-2401
de Havilland Canada DHC-6 Twin Otter 200,Inuvik Coastal Airways,C-FGJK
Antonov AN-24,Aeroflot,CCCP-46617
CASA 212-A3 Aviocar 100,Military - Royal Jordanian Air Force,324
Douglas DC-3,Skycraft Air Transport,C-GSCA
Tupolev TU-134A,Balkan Bulgarian Airlines,LZ-TUR
Douglas EC-54U,North East Bolivian Airways,CP-1090
CASA 212 Aviocar 200,Pelita Air Service,PK-PCL
Antonov An-24RV,Aeroflot,CCCP-47358
Swearingen SA.226TC Metro II,Britt Airways,N63Z
Antonov AN-12,Military - Ethiopian Air Force,1506
Bell UH-1H / Bell UH-1H,Military - Salvadoran Air Force,
Cessna 500 Citation I,Flight Safety Australia,VH-FSA
Cessna 404 Titan,Taxi AÃ©reo del Guaviare,HK-2685
PS-1,Military - Japan Maritime Self Defense Force,
McDonnell Douglas DC-10-30,Scandinavian Airlines (SAS),LN-RKB
Lockheed C-130E,Military - U.S. Air Force,68-10944
Piper PA-31,Air Taxi,N6629L
Curtiss C-46A,Aerosucre Colombia,HK-1322P
Fairchild F-27M,Lloyd Aereo Boliviano,CP-862
Sikorsky CH-53D,Military - U.S. Marine Corps,157132
Douglas C-54,Frigorifico Reyes,CP-1206
Cessna 402B,State Airlines,N44NC
PT-LCN,LÃ­der TÃ¡xi AÃ©reo,PT-LCN
Embraer 110EJ Band./Embraer 110P Band.,VOTEC / VOTEC,PT-GJZ/PT-GKL
McDonnel F-4E Phantom II,Military - Egyptian Air Force,
Gates Learjet 35A,Tierra del Fuego Province,LV-TDF
Lockheed L-188AF Electra,Zantop International Airlines,N5523
Learjet 23A,Air Continental,N101PP
Aerospeciale AS-350D,Air Taxi - Raco Helicopters Corp.,N5784M
Embraer 110C Bandeirante,TAM Lineas AÃ©reas Regional,PP-SBC
Beechcraft 18,Coval Air,
Bell UH-1H,Military - Philippine Air Force,
Lockheed C-141B,Military - U.S. Air Force,64-0624
Grumman G-21A,Air Taxi,N2021A
de Havilland Canada DHC-6 Twin Otter 300,South PacifiIsland Airways,N43SP
Cessna 401,Air Taxi,N7984Q
Britten-Norman BN-2A Islander,Vieques Air Link,N589SA
Fokker F-27 Friendship 600,Bangladesh Biman,S2-ABJ
Antonov AN-12BP,Aeroflot,CCCP-10232
Cessna 402A,Pioneer Airlines,5Y-AMS
Douglas DC-3,Aviation Enterprises,N70003
Douglas C-47A,Airfast Indonesia,PK-OBC
Piper PA-31,Air Taxi - Richards Aviation Inc.,N9011Y
Beechcraft C99 / Rockwell 112TC,Wings West Airlines / Private,N6399U/N112SM
Boeing B-737-2H7C,Cameroon Airlines,TJ-CBD
Britten-Norman BN-2A-20 Islander,Talair,P2-ISG
Cessna 402C,Provincetown - Boston Airlines,N89PB
Handley Page Dart Herald 202,MMM Aero Services,9Q-CAH
Antonov An-2T,APRL,SP-AMK
McDonnell Douglas DC-8F-55,AECA Cargo,HC-BKN
Antonov AN-12,Military - Russian Air Force,
Cessna 500 Citation I,Air Niagara,C-GXFZ
Cessna R182,Air Taxi - Desert Flying Service,N1842R
de Havilland Canada DHC-6 Twin Otter 100,Nahanni Air Services,C-FPPL
Tupolev TU-154B,Aeroflot,CCCP-85243
de Havilland Canada DHC-6 Twin Otter 100,Labradore Airways,C-FAUS
Ilyushin IL-76M,Mililtary - Soviet Air Force,CCCP-86739
Antonov AN-22,Military - Russian Air Force,CCCP-08837
Douglas C-47B,Village Airways,RP-C138
Embraer 110P1 Bandeirante,Euroair,G-HGGS
de Havilland Canada DHC-6 Twin Otter 300,TAME,FAE-446
LET 410 M,Aeroflot,CCCP-67225
Embraer 110P1 Bandeirante,Provincetown - Boston Airlines,N96PB
Antonov An-32,Military - Indian Air Force,
PA-23-250,Air Taxi - Delaware Aviation LLC,N6099Y
de Havilland Canada DHC-6 Twin Otter 300,Fuerza AÃ©rea del Peru,FAP-307
de Havilland Canada DHC-6 Twin Otter 300,Royal Nepal Airlines,9N-ABH
Tupolev TU-154B-2,Aeroflot,CCCP-85338
Boeing B-727-225 Adv,Eastern Air Lines,N819EA
Lockheed L-188AF Electra,TPI International Airways,N357Q
Antonov AN-24B,CAAC,B-434
Ilyushin IL-18D,Cubana de Aviacion,CU-T899
Bell 206 L-1,Air Taxi,N40TE
Lockheed L-188A Electra,Galaxy Airlines,N5532
Lockheed C-130A,Military - U.S. Air Force,56-0501
Embraer 110P1 Bandeirante,AIRES Colombia,HK-2638
de Havilland Canada DHC-6 Twin Otter 300,Aerolineas Centrales de Colombia,HK-1910
Piper PA-31-350,Air Taxi - Air Trends Inc.,N27522
Tupolev TU-134A,Aeroflot,CCCP-65910
Beech Queen Air 65-A80,North PacifiAirlines,N50NP
Cessna 402B,Air Taxi - Oklahoma Airways Inc.,N5780M
Ilyushin IL-76MD,Military - Russian Air Force,CCCP-76569
Gulfstream AC-680F,Air Taxi - Mercy Flights Inc.,N233W
Britten-Norman BN-2A Islander,Dirgantara Air Services,PK-VIO
Boeing B-727-256,Iberia Airlines,EC-DDU
Boeing B-747-SP-09,China Airlines (Taiwan),N4522V
Antonov AN-24V,Air Mali,TZ-ACT
Boeing RC-135T,Military - U.S. Air Force,55-3121
Lockheed C-130E Hercules,Military - U.S. Air Force,64-0549
Fokker F-28 Fellowship 3000,SATENA,FAC-1140
HS-125-700B,YPF,LV-ALW
Cessna 320B,Air Taxi - Eidoarie Inc.,N3RU
Boeing B-737-200,Thai Airways,HS-TBB
Boeing B-727-227,American Airlines,N718AA
Cessna U206G,Air Taxi - Monument Valley Air Service,N8849Q
Fokker F-27 Friendship 100,Aeronica,YN-BZF
Convair CV-440,Carga Aereo Transportada,CP-1489
Tupolev TU-134A / Antonov An-26,Aeroflot / Soviet Air Force,CCCP65856/26492
CH-53D,Military - U.S. Marine Corps,
Britten-Norman BN-2 Islander,Empresa Nacional de Transp.  Trabalho Aereo,C9-AMV
Cessna C-207A,Air Taxi,N73635
Cessna 501 Citation I,Acme Air,N10GE
Convair CV-580,Avensa,YV-84C
Grumman G-159 Gulfstream I,General Aviation Inc.,N181TG
Boeing B-727-231,Trans World Airlines,N64339
Embraer 110P Bandeirante,TABA,PT-GJN
Boeing B-747-237B,Air India,VT-EFO
Piper PA-42,Air Taxi,N542TW
Tupolev TU-154B-2,Aeroflot,CCCP-85311
Aerostar 601,Air Ohio - Air Taxi,N71MA
Douglas DC-6B,Fuerza AÃ©rea Colombiana,FAC-902
Lockheed L-1011-1 TriStar,Delta Air Lines,N726DA
Boeing B-747-SR46,Japan Air Lines,JA8119
de Havilland Canada DHC-6 Twin Otter 300,Merpati Nusantara Airlines,PK-NUG
Boeing 707-336C,Alyemda Airlines,7O-ACO
Learjet 24D,Air Taxi - Jet Alaska,N455JA
Boeing B-737-236,British Airtours,G-BGJL
Beechcraft 99,Bar Harbor Airlines,N300WP
Boeing KC-135A,Military - U.S. Air Force,59-1443
Britten-Norman BN-2A Islander,Douglas Airways,P2-DNW
Antonov AN-26,Ariana Afghan Airlines,YA-BAM
McDonnell Douglas DC-9-14,Midwest Express,N100ME
Antonov AN-12,Military - Soviet Air Force,
Beechcraft B99,Air Taxi - Henson Airlines,N339HA
Antonov An-12,MAP,CCCP-69321
Cessna 208 Caravan I,Air Carriers Express Services Inc,N551CC
Cessna 402B,Air Albatross,ZK-EHT
Embraer 110C Bandeirante,Nordeste Linhas AÃ©reas,PT-GKA
IAI 1124 Westwind,Pel Air,VH-IWJ
Curtiss C-46D,Sabeni,CP-1593
Yakovlev YAK-40,Aeroflot,CCCP-87803
de Havilland Canada DHC-6 Twin Otter 200,Mountain Air Cargo,N3257
Fokker F-27 Friendship 600,Burma Airways,XY-ADS
Learjet 24XR,Jet Alaska,N456JA
Cessna 208,Air Taxi- Hermans Air Inc.,N9241F
Convair CV-340,Military - U.S. Air Force,54-2817
Piper PA-32-300,Air Taxi,N74DJ
Lockheed C-130H Hercules,Military - Indonesian Air Force,A-1322
Boeing B-737-266,EgyptAir,SU-AYH
Antonov AN-26,Military - Angolan Air Force,
McDonnell Douglas DC-8 Super 63PF,Arrow Airways,N950JW
Short SC7- Skyvan,Military - Royal Nepalese Air Force,RAN-23
Douglas DC-3,Private,N711Y
Sud-Aviation  Caravelle VI-N,Aerovias de Guatemala SA,HC-BAE
Bell 296B,Air Taxi,N1498W
Boeing B-737-2A1,VASP,PP-SME
Douglas DC-3A-178,Aerocalifornia,XA-IOR
Lockheed L-188AF Electra,GLM Aviation,9Q-CWT
Boeing B-737-281,China Airlines (Taiwan),B-1870
Antonov AN-24B,Aeroflot,CCCP-46423
Cessna 425 Conquest,Taxair,HB-LLS
Embraer 110P1 Bandeirante,Simmons Airlines,N1356P
CASA 212 Aviocar 100,Merpati Nusantara Airlines,PK-NCF
de Havilland Canada DHC-3 Otter,Goose Bay Air Services,C-FAGM
Antonov An-12AP,Ministerstvo Obshchestvo Mashinostroyeniya,CCCP-11795
Sepecat Jaguar A,Military - French Air Force,
Antonov AN-26,Military - Mozambique Air Force,42
Boeing B-727-264,Mexicana,XA-MEM
Boeing B-727,Trans World Airlines,N54340
Lockheed HC-130P Hercules,Military - U.S. Air Force,66-0211
de Havilland Canada DHC-6 Twin Otter 300,ACES Colombia,HK-2761
Douglas DC-6,Military - El Salvador Air Force,FAS-302
