Type
Wright Flyer III
Dirigible
MD Douglas DC-9-15 / Beechcraft Baron-55
Douglas C-47J
de Havilland Canada DHC-6 Twin Otter 100
Vickers Viscount 818
Beechcraft 95-55
McDonnell Douglas DC-8-51
Piper PA-30
Lockheed C-130B
Fokker F-27 Friendship 400
de Havilland DH-104 / Piper PA-28
Cessna 205
Curtiss C-46T
Douglas DC-8-54F
Bristol 170 Freighter 31E
Douglas DC-3A-197D
Lockheed C-130E-I Hercules
Vickers 803 Viscount
BAC One Eleven 204AF
Bell UH-1B / Sikorsky CH53A helicopters
Sud Aviation SE-210 Caravelle III
Boeing B-727-22 / Cessna 310
Breguet 1150
Fairchild C-123K
Lockheed C130B
Cessnea 172
Beechcraft N35
Aero Commander 560
Sud Aviation Caravelle 10R
Convair CV-880-22M-3
Boeing B-707-131
Convair CV-880-22-1
Hiller FH1100
de Havilland Canada C-7A Caribou
Douglas DC-C-54A
Beechcraft 18H
Bell 47J-2A
Avro Shackleton MR-3
Beechcraft 95-55B
Beechcraft E18S
Cessna 180H
Sikorsky CH-53A (helicopter)
Douglas C-54P
Lockheed P-3B Orion
Boeing B-707-138B
Antonov AN-12BP
Boeing B-727-92C
Cessna 210
Boeing B-707-328C
Douglas DC6B
Brantly 305
Vickers Viscount 803
McDonnell Douglas DC-9 and Cessna 150F
MiG-15 UTI
Boeing B-707-465
Bell UH-1H / Bell UH-1H (helicopter)
Boeing B-707-344C
Ilyushin IL-18V
Bell 206A
Lockheed Martin L-100-10
Lockheed L188A Electra
Armstrong Whitworth Argosy C-1
Sikorsky S-61L helicopter
Convair CV-990-30A-5
Cessna 411
Boeing B-707-321C
Piaggio PD-808
Antonov An-12 - Ilyshin IL-14
Bell UH-1H / Bell UH-1H / Bell UH-1H
Airspeed AS.57 Ambassador 2
Convair CV-340-68B
Boeing 707-329C
Curtiss C-46C
Cessna 182H
McDonnell Douglas DC-8
Convair CV-580 / Cessna 150
Vickers Viscount 739A
Fairchild-Hiller FH-227B
Antonov AN-24V
Hawker Siddeley HS-748-215-2
Cessna 172
Cessna 402 / Piper PA-28
Sud-Aviation Caravelle 3
Beechcraft D50A
de Havilland Canada C-7B Caribou
de Havilland C-7B / Boeing Vertol CH-47A
de Havilland DH-104
Britten-Norman BN-2 Islander
Avia 14-40
Douglas C-47A-25
Fairchild-Hiller FH227C
Aero Commander 680-E
McDonnell Douglas DC-8-62
de Havilland Canada DHC-6 Twin Otter 200
Fairchild F-27B
Aero Commander 560-F
Convair CV-580
Lockheed L-100 Hercules
Boeing 707-321CF
de Havilland DHC-6
Bell 205A
Boeing B-727-113C
Boeing B-727-22QC
Lockheed HC-130H Hercules
Lockheed C-130H
Handley Page Dart Herald 201
McDonnell Douglas DC-9-32
Bell 47G2A1 / Cessna 150H
Boeing Vertol CH47C (helicopter)
Lockheed EC-121M
de Havilland DHC-2
Lockheed EC121R
Boeing Vertol CH47A (helicopter)
Fokker F-27 Friendship 600
Boeing B-727-64
Cessna 337C
Boeing RC-135E
Beechcraft 99
Beechcraft B-99
Grumman G-44A
Cessna 320
De Havilland DH-104 Dove
Boeing 707-331C
Sud Aviation SE-210 Caravelle 6N
Bell 47G3B1
Bell 47G-2
Pilatus Pc-6C
Boeing B-707-328B
Antonov An-12PL
Cessna 172H
MD Douglas DC-9-31/Piper Cherokee PA-28
BAC One-Eleven 402AP
Convair CV-640
Douglas DC-4 / USAF F-4E
Boeing C-97
Grumman C-2A
Beechcraft 65-B80
Antonov An-12TB
BAC VC-10-1101
LTVF-8J
Beechcraft TC-45J
De Havilland Dove
Hawker Siddeley HS-748 1
Convair CV-990-30A-6
Handley Page Jetstream 1
Lockheed EC-121P
Aerospatiale Caravelle 3
Lockheed AC-130A Hercules
Hawker Siddeley HS-748-209
McDonnell Douglas DC-9-33CF
Gates Learjet 23
Curtiss C-46A-55-CK
Fokker F-27 Friendship 400M
McDonnell Douglas DC-8-63
Antonov AN-22
